id,itemTime,trialNumber,name,type,statement,relevance,competence,prior,condition,trialType,answer,RT,language,comments,engagement,difficulty
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402670619,1,Tony's clubbing,lhl,Tony has to work at club Macabre tonight.,0,1,0,test,test_false,0,21531,english,NA,3,5
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402683546,2,Tony's clubbing,lhl,It is likely that they play both Jazz and Metal at the club tonight.,0,1,0,critical,exh2,0.5,12919,english,NA,3,5
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402706438,3,Carl's party,hll,John did not spend much time outside.,1,0,0,test,test_true,1,22887,english,NA,3,5
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402711857,4,Carl's party,hll,It is likely that Carl danced passionately with both Sue and Mary.,1,0,0,critical,exh1,0.5,5415,english,NA,3,5
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402721600,5,Harold's pet,lll,Harold is single.,0,0,0,test,test_false,0,9741,english,NA,3,5
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402728848,6,Harold's pet,lll,It is likely that Harold bought both a cat and a dog.,0,0,0,critical,exh2,0.42,7245,english,NA,3,5
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402741679,7,Brad's clothes,hlh,Mandy feels attracted to Brad.,1,0,1,test,test_uncertain,0.5,12829,english,NA,3,5
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402748695,8,Brad's clothes,hlh,It is likely that Brad bought both a sweater and a pair of jeans.,1,0,1,critical,exh1,0.51,7014,english,NA,3,5
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402763323,9,Gerald's graduation,llh,Gerald took almost ten years to graduate.,0,0,1,test,test_uncertain,0.53,14626,english,NA,3,5
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402768656,10,Gerald's graduation,llh,It is likely that both Gerald's mother and his father attended the ceremony.,0,0,1,critical,exh2,0.56,5330,english,NA,3,5
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402780677,11,Pete's accident,hhl,Pete's mother was not there when he fell of the slide.,1,1,0,test,test_true,1,12019,english,NA,3,5
A10A25H4472NHN:3RJSC4XJ1125YHU776IJK0T1MVO50F,1465402857185,12,Pete's accident,hhl,It is likely that Pete broke both his arm and his leg.,1,1,0,critical,exh1,0.47,76505,english,NA,3,5
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394531452,1,Gerald's graduation,llh,Nico finally graduated after studying for a long time.,0,0,1,test,test_false,0.65,17080,English,NA,9,3
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394541425,2,Gerald's graduation,llh,It is likely that both Gerald's mother and his father attended the ceremony.,0,0,1,critical,exh2,0.81,9972,English,NA,9,3
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394559320,3,Carl's party,hll,Carl's wife liked the music very much.,1,0,0,test,test_uncertain,0.03,17893,English,NA,9,3
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394564962,4,Carl's party,hll,It is likely that Carl danced passionately with both Sue and Mary.,1,0,0,critical,exh2,0.1,5641,English,NA,9,3
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394585765,5,Mrs Sanders' son,hhl,The teacher is trying to find out who queued up twice.,1,1,0,test,test_true,0.87,20801,English,NA,9,3
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394589071,6,Mrs Sanders' son,hhl,It is likely that Ted had both pasta and a pizza.,1,1,0,critical,exh1,0.07,3305,English,NA,9,3
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394596682,7,Harold's pet,lll,Harold is single.,0,0,0,test,test_false,0,7611,English,NA,9,3
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394600115,8,Harold's pet,lll,It is likely that Harold bought both a cat and a dog.,0,0,0,critical,exh1,0.01,3432,English,NA,9,3
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394611562,9,Mrs Gibbs' worry,hhh,Cindy is secretly in love with Mrs Gibbs' husband.,1,1,1,test,test_uncertain,0.14,11447,English,NA,9,3
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394616826,10,Mrs Gibbs' worry,hhh,It is likely that Mr Gibbs had both a beer and a steak.,1,1,1,critical,exh2,0.68,5263,English,NA,9,3
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394625816,11,Brad's clothes,hlh,Brad is not happy about the fact that his friends make jokes about his shabby clothes.,1,0,1,test,test_true,0.98,8989,English,NA,9,3
A13GRYSDPEZGJ:304SM51WA4C7O6VSHISGXSZCRJMSBJ,1465394630675,12,Brad's clothes,hlh,It is likely that Brad bought both a sweater and a pair of jeans.,1,0,1,critical,exh1,0.59,4858,English,NA,9,3
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402781754,1,Gigi's exams,hlh,Gigi hired a private tutor to help her with her Biology and Chemistry exams.,1,0,1,test,test_false,1,11273,English,interesting study,8,1
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402785371,2,Gigi's exams,hlh,It is likely that Gigi passed both her Physics exam and her Chemistry exam.,1,0,1,critical,exh1,0.65,3616,English,interesting study,8,1
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402804044,3,Gerald's graduation,llh,Gerald took almost ten years to graduate.,0,0,1,test,test_uncertain,0.2,18672,English,interesting study,8,1
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402810722,4,Gerald's graduation,llh,It is likely that both Gerald's mother and his father attended the ceremony.,0,0,1,critical,exh2,0.78,6678,English,interesting study,8,1
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402821892,5,Harold's pet,lll,Harold's girlfriend didn't want a pet in her house before.,0,0,0,test,test_true,0.75,11169,English,interesting study,8,1
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402825469,6,Harold's pet,lll,It is likely that Harold bought both a cat and a dog.,0,0,0,critical,exh2,0.11,3577,English,interesting study,8,1
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402835836,7,Chloe's holiday,lhh,Chloe went on holidays with a big group of her friends.,0,1,1,test,test_false,0,10366,English,interesting study,8,1
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402839621,8,Chloe's holiday,lhh,It is likely that both Susan and Amelia brought some extra suntan lotion.,0,1,1,critical,exh2,0.44,3784,English,interesting study,8,1
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402851349,9,Carl's party,hll,John did not spend much time outside.,1,0,0,test,test_true,0.81,11727,English,interesting study,8,1
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402857445,10,Carl's party,hll,It is likely that Carl danced passionately with both Sue and Mary.,1,0,0,critical,exh1,0.17,6096,English,interesting study,8,1
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402867168,11,Pete's accident,hhl,Pete's teacher saw him fall off the slide.,1,1,0,test,test_uncertain,0.66,9721,English,interesting study,8,1
A18G2CLYSTENK:333U7HK6IAN740AM8KA80HWPYLQJD6,1465402870692,12,Pete's accident,hhl,It is likely that Pete broke both his arm and his leg.,1,1,0,critical,exh1,0.18,3524,English,interesting study,8,1
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400313853,1,Mrs Sanders' son,hhl,Ted is Mrs Sanders' husband.,1,1,0,test,test_false,0,48359,English,N/A,8,2
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400325025,2,Mrs Sanders' son,hhl,It is likely that Ted had both pasta and a pizza.,1,1,0,critical,exh2,0.29,11170,English,N/A,8,2
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400333087,3,Leo's wife,hll,Leo is wealthy.,1,0,0,test,test_true,0.78,8061,English,N/A,8,2
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400342363,4,Leo's wife,hll,It is likely that someone made a hole-in-one on both the first and the second hole.,1,0,0,critical,exh1,0.2,9275,English,N/A,8,2
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400359615,5,Danny's racket,hhh,Danny and Alex have known each other since high school.,1,1,1,test,test_uncertain,0.1,17252,English,N/A,8,2
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400368913,6,Danny's racket,hhh,It is likely that Alex bought both a racket and a pair of shoes.,1,1,1,critical,exh1,0.26,9297,English,N/A,8,2
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400379185,7,Gigi's exams,hlh,Gigi aspires to a career in science.,1,0,1,test,test_uncertain,0.61,10270,English,N/A,8,2
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400383375,8,Gigi's exams,hlh,It is likely that Gigi passed both her Physics exam and her Chemistry exam.,1,0,1,critical,exh2,0.75,4190,English,N/A,8,2
