id,itemTime,name,type,question,relevance,competence,prior,condition,answer,RT,language,comments,engagement,difficulty
debug1FHVNU:debugNIFB1V,1445263734577,Chloe's holiday,lhh,Chloe went on holidays with a big group of her friends.,0,1,1,test_false,1,1886,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263736051,Chloe's holiday,lhh,"If Amelia brought some extra suntan lotion, Susan brought some as well.",0,1,1,prior,0.01,1474,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263737176,Chloe's holiday,lhh,"If Susan brought some extra suntan lotion, Amelia brought some as well.",0,1,1,prior,0.75,1125,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263738694,Gigi's exams,hlh,Gigi hired a private tutor to help her with her Biology and Chemistry exams.,1,0,1,test_false,0,1518,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263740292,Gigi's exams,hlh,It is important for Gigi's best friend to know whether Gigi passed both her Physics exam and her Chemistry exam.,1,0,1,rel,0.92,1597,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263741496,Danny's racket,hhh,Danny and Alex went to the sports shop together.,1,1,1,test_false,0.06,1204,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263742587,Danny's racket,hhh,Alex's girlfriend knows whether Alex bought both a racket and a pair of shoes.,1,1,1,comp,0.89,1091,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263743768,Jimmy's trip,lll,Jimmy had told his friends about his plans to visit New York City before.,0,0,0,test_uncertain,0.12,1181,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263744916,Jimmy's trip,lll,From what the brother said we may conclude that Jimmy did not see both the Statue of Liberty and the Empire State Building.,0,0,0,xor,0.86,1147,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263746154,Joshua's delay,llh,Kevin and Corry expected Joshua to arrive earlier.,0,0,1,test_true,0.11,1237,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263747301,Joshua's delay,llh,It is important for Kevin to know whether Joshua had to eat lunch and do his homework.,0,0,1,rel,0.91,1147,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263748415,Carl's party,hll,John did not spend much time outside.,1,0,0,test_true,0.11,1114,7th,some comment,0,10
debug1FHVNU:debugNIFB1V,1445263749855,Carl's party,hll,From what John said we may conclude that Carl did not dance passionately with both Sue and Mary.,1,0,0,xor,0.89,1440,7th,some comment,0,10
